candidate_event_id,group_id,working_filename,working_path,event_index,detected_onset_seconds,corrected_onset_seconds,ioi_seconds,onset_strength_norm,clip_filename,clip_path,keep_event,event_token,review_confidence,reviewer,review_notes,token_ioi_class,token_strength_class,token_rule,usable_for_training,source_review_file
PERF-001-CAND-0001,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,1,0.476009,0.476009,,0.010559,PERF-001_event_0001_PERF-001-CAND-0001.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\event_review\candidate_event_clips\PERF-001\PERF-001_event_0001_PERF-001-CAND-0001.wav,yes,START_WEAK,accepted_after_clip_review,Von Jethro E. Landicho,Accepted as usable candidate event; token assigned from IOI and normalized onset strength.,START,WEAK,IOI tertile + onset-strength tertile; first event per recording uses START,yes,ensemble_event_review(3).csv
PERF-001-CAND-0002,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,2,2.693515,2.693515,2.217506,0.036993,PERF-001_event_0002_PERF-001-CAND-0002.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\event_review\candidate_event_clips\PERF-001\PERF-001_event_0002_PERF-001-CAND-0002.wav,yes,LONG_STRONG,accepted_after_clip_review,Von Jethro E. Landicho,Accepted as usable candidate event; token assigned from IOI and normalized onset strength.,LONG,STRONG,IOI tertile + onset-strength tertile; first event per recording uses START,yes,ensemble_event_review(3).csv
PERF-001-CAND-0003,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,3,3.239184,3.239184,0.5456689999999997,0.045541,PERF-001_event_0003_PERF-001-CAND-0003.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\event_review\candidate_event_clips\PERF-001\PERF-001_event_0003_PERF-001-CAND-0003.wav,yes,SHORT_STRONG,accepted_after_clip_review,Von Jethro E. Landicho,Accepted as usable candidate event; token assigned from IOI and normalized onset strength.,SHORT,STRONG,IOI tertile + onset-strength tertile; first event per recording uses START,yes,ensemble_event_review(3).csv
PERF-001-CAND-0004,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,4,3.831293,3.831293,0.5921090000000002,0.03071,PERF-001_event_0004_PERF-001-CAND-0004.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\event_review\candidate_event_clips\PERF-001\PERF-001_event_0004_PERF-001-CAND-0004.wav,yes,MEDIUM_MEDIUM,accepted_after_clip_review,Von Jethro E. Landicho,Accepted as usable candidate event; token assigned from IOI and normalized onset strength.,MEDIUM,MEDIUM,IOI tertile + onset-strength tertile; first event per recording uses START,yes,ensemble_event_review(3).csv
PERF-001-CAND-0005,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,5,4.95746,4.95746,1.1261670000000001,0.034913,PERF-001_event_0005_PERF-001-CAND-0005.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\event_review\candidate_event_clips\PERF-001\PERF-001_event_0005_PERF-001-CAND-0005.wav,yes,MEDIUM_MEDIUM,accepted_after_clip_review,Von Jethro E. Landicho,Accepted as usable candidate event; token assigned from IOI and normalized onset strength.,MEDIUM,MEDIUM,IOI tertile + onset-strength tertile; first event per recording uses START,yes,ensemble_event_review(3).csv
PERF-001-CAND-0006,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,6,5.514739,5.514739,0.5572789999999994,0.043318,PERF-001_event_0006_PERF-001-CAND-0006.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\event_review\candidate_event_clips\PERF-001\PERF-001_event_0006_PERF-001-CAND-0006.wav,yes,SHORT_STRONG,accepted_after_clip_review,Von Jethro E. Landicho,Accepted as usable candidate event; token assigned from IOI and normalized onset strength.,SHORT,STRONG,IOI tertile + onset-strength tertile; first event per recording uses START,yes,ensemble_event_review(3).csv
PERF-001-CAND-0007,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,7,6.664127,6.664127,1.149388,0.038952,PERF-001_event_0007_PERF-001-CAND-0007.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\event_review\candidate_event_clips\PERF-001\PERF-001_event_0007_PERF-001-CAND-0007.wav,yes,LONG_STRONG,accepted_after_clip_review,Von Jethro E. Landicho,Accepted as usable candidate event; token assigned from IOI and normalized onset strength.,LONG,STRONG,IOI tertile + onset-strength tertile; first event per recording uses START,yes,ensemble_event_review(3).csv
PERF-001-CAND-0008,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,8,7.233016,7.233016,0.5688890000000004,0.046013,PERF-001_event_0008_PERF-001-CAND-0008.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\event_review\candidate_event_clips\PERF-001\PERF-001_event_0008_PERF-001-CAND-0008.wav,yes,MEDIUM_STRONG,accepted_after_clip_review,Von Jethro E. Landicho,Accepted as usable candidate event; token assigned from IOI and normalized onset strength.,MEDIUM,STRONG,IOI tertile + onset-strength tertile; first event per recording uses START,yes,ensemble_event_review(3).csv
PERF-001-CAND-0009,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,9,7.813515,7.813515,0.5804989999999997,0.045462,PERF-001_event_0009_PERF-001-CAND-0009.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\event_review\candidate_event_clips\PERF-001\PERF-001_event_0009_PERF-001-CAND-0009.wav,yes,MEDIUM_STRONG,accepted_after_clip_review,Von Jethro E. Landicho,Accepted as usable candidate event; token assigned from IOI and normalized onset strength.,MEDIUM,STRONG,IOI tertile + onset-strength tertile; first event per recording uses START,yes,ensemble_event_review(3).csv
PERF-001-CAND-0010,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,10,8.370794,8.370794,0.5572790000000003,0.025006,PERF-001_event_0010_PERF-001-CAND-0010.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\event_review\candidate_event_clips\PERF-001\PERF-001_event_0010_PERF-001-CAND-0010.wav,yes,SHORT_WEAK,accepted_after_clip_review,Von Jethro E. Landicho,Accepted as usable candidate event; token assigned from IOI and normalized onset strength.,SHORT,WEAK,IOI tertile + onset-strength tertile; first event per recording uses START,yes,ensemble_event_review(3).csv
PERF-001-CAND-0011,PERF-001,PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\working_audio\ensembles\PERF-001_SDNG_SNDG_Gangsa_ENSEMBLE01.wav,11,9.508571,9.508571,1.1377769999999998,0.042753,PERF-001_event_0011_PERF-001-CAND-0011.wav,C:\Users\vonje\Documents\4th Year Acts\Thesis\Latest Requirements\Thesis App\data_pipeline\data\event_review\candidate_event_clips\PERF-001\PERF-001_event_0011_PERF-001-CAND-0011.wav,yes,MEDIUM_STRONG,accepted_after_clip_review,Von Jethro E. Landicho,Accepted as usable candidate event; token assigned from IOI and normalized onset strength.,MEDIUM,STRONG,IOI tertile + onset-strength tertile; first event per recording uses START,yes,ensemble_event_review(3).csv
