recording_id,original_filename,recording_type,source,relative_path,file_extension,file_size_bytes,file_hash_sha256,duration_seconds,sample_rate,channels,read_status,read_error,curation_status,exclusion_reason,researcher_notes,filename_matches_source,audio_plays_completely,recording_role_confirmed,audible_content_present,severe_clipping_observed,excessive_noise_observed,suspected_near_duplicate,manual_review_status,proposed_curation_status,proposed_exclusion_reason,manual_review_notes
PERF-001,SDNG_SNDG_Gangsa_ENSEMBLE01.mp3,ensemble,KATUNOG,data\raw\ensemble\SDNG_SNDG_Gangsa_ENSEMBLE01.mp3,.mp3,7753856,ab581ece31d285d5fa60e59ceddfebbe0123aadb8b643187e92b29389eb7321b,290.847347,44100,2,readable,,pending_review,,,yes,yes,yes,yes,no,no,no,reviewed,accepted,,Distinct and usable ensemble performance. No reported technical issue prevents later strike-event review.
PERF-002,SDNG_SNDG_Gangsa_ENSEMBLE02.mp3,ensemble,KATUNOG,data\raw\ensemble\SDNG_SNDG_Gangsa_ENSEMBLE02.mp3,.mp3,3395712,241da24a2a0a74c7e64d147c209b7aff0cb456cc3cb045edac367efcb2da19f9,108.982857,44100,2,readable,,pending_review,,,yes,yes,yes,yes,no,no,no,reviewed,accepted,,"Distinct and usable ensemble performance. Some rhythmic passages are similar to PERF-003, but the complete performance and progression differ; not treated as a near duplicate."
PERF-003,SDNG_SNDG_Gangsa_ENSEMBLE03.mp3,ensemble,KATUNOG,data\raw\ensemble\SDNG_SNDG_Gangsa_ENSEMBLE03.mp3,.mp3,2408576,8edcbb2f9769d259b6d9515b2d396772bcfd1eedbec1f0696c57a6bdfdbb7439,67.84,44100,2,readable,,pending_review,,,yes,yes,yes,yes,no,no,no,reviewed,accepted,,"Distinct and usable ensemble performance. Some rhythmic passages are similar to PERF-002, but the complete performance and progression differ; not treated as a near duplicate."
PERF-004,SDNG_SNDG_Gangsa_ENSEMBLE04.mp3,ensemble,KATUNOG,data\raw\ensemble\SDNG_SNDG_Gangsa_ENSEMBLE04.mp3,.mp3,3747968,1448bfd6c3d52f10db42520906dfb95fba7a55563b78c98f0006759f50cb5514,123.663673,44100,2,readable,,pending_review,,,yes,yes,yes,yes,no,no,no,reviewed,accepted,,Distinct and usable ensemble performance. No reported technical issue prevents later strike-event review.
PERF-005,SDNG_SNDG_Gangsa_ENSEMBLE05.mp3,ensemble,KATUNOG,data\raw\ensemble\SDNG_SNDG_Gangsa_ENSEMBLE05.mp3,.mp3,2619392,c07421c098cacb6558095b3c4fb139b9d4273a57729ecdd218a75811ed7ae251,76.564898,44100,2,readable,,pending_review,,,yes,yes,yes,yes,no,no,no,reviewed,accepted,,Distinct and usable ensemble performance. No reported technical issue prevents later strike-event review.
ISO-N1-S1,SDNG_SNDG_Gangsa_N1_S1.mp3,isolated_strike,KATUNOG,data\raw\isolated_strikes\SDNG_SNDG_Gangsa_N1_S1.mp3,.mp3,923776,18f074caf4c19b108fd94565190380df27152219649c4882e30cd944afd2b0c5,5.825306,44100,2,readable,,pending_review,,,yes,yes,yes,yes,no,no,no,reviewed,accepted,,Isolated Gangsa strike and fading decay are audible. No reported technical issue prevents later sample-based rendering.
ISO-N1-S2,SDNG_SNDG_Gangsa_N1_S2.mp3,isolated_strike,KATUNOG,data\raw\isolated_strikes\SDNG_SNDG_Gangsa_N1_S2.mp3,.mp3,929920,0a96157b04e97152329115c63f2f7cf66e0128040b423dbdebcdb5600dea85d3,6.138776,44100,2,readable,,pending_review,,,yes,yes,yes,yes,uncertain,no,no,reviewed,pending_review,,Isolated Gangsa strike and fading decay are audible. The attack sounds unusually loud and subjectively distorted; objective clipping screening is required before final acceptance or exclusion.
ISO-N1-S3,SDNG_SNDG_Gangsa_N1_S3.mp3,isolated_strike,KATUNOG,data\raw\isolated_strikes\SDNG_SNDG_Gangsa_N1_S3.mp3,.mp3,946304,86a2fb83dfe6b60fc5b8d81a40cde6c77c9f646834b3a6f16936b6b89f0af120,6.791837,44100,2,readable,,pending_review,,,yes,yes,yes,yes,uncertain,no,no,reviewed,pending_review,,Isolated Gangsa strike and fading decay are audible. The attack sounds unusually loud and subjectively distorted; objective clipping screening is required before final acceptance or exclusion.
ISO-N1-S4,SDNG_SNDG_Gangsa_N1_S4.mp3,isolated_strike,KATUNOG,data\raw\isolated_strikes\SDNG_SNDG_Gangsa_N1_S4.mp3,.mp3,944256,ce01dd31183518850744e5e66a09debe728d7381fcc7c4185534fb517bf4a564,6.687347,44100,2,readable,,pending_review,,,yes,yes,yes,yes,no,uncertain,no,reviewed,pending_review,,Isolated Gangsa strike and fading decay are audible. A stick-like sound is present near the end of the sample; technical review is required to determine whether the noise occurs after the usable decay or affects rendering usability.
ISO-N1-S5,SDNG_SNDG_Gangsa_N1_S5.mp3,isolated_strike,KATUNOG,data\raw\isolated_strikes\SDNG_SNDG_Gangsa_N1_S5.mp3,.mp3,962688,9f71dbfee0d564cb3c299955f0936abb35394044c647f6a733c9c7e98c735c59,7.47102,44100,2,readable,,pending_review,,,yes,yes,yes,yes,uncertain,no,no,reviewed,pending_review,,Isolated Gangsa strike and fading decay are audible. The attack sounds unusually loud and subjectively distorted; objective clipping screening is required before final acceptance or exclusion.
ISO-N2-S1,SDNG_SNDG_Gangsa_N2_S1.mp3,isolated_strike,KATUNOG,data\raw\isolated_strikes\SDNG_SNDG_Gangsa_N2_S1.mp3,.mp3,899200,3220dab9d05e3d3f0f7c28dc01bfe1f2c564eea800ed93e1876dad29a661633b,4.806531,44100,2,readable,,pending_review,,,yes,yes,yes,yes,uncertain,no,no,reviewed,pending_review,,Isolated Gangsa strike and fading decay are audible. The attack sounds unusually loud and subjectively distorted; objective clipping screening is required before final acceptance or exclusion.
ISO-N2-S2,SDNG_SNDG_Gangsa_N2_S2.mp3,isolated_strike,KATUNOG,data\raw\isolated_strikes\SDNG_SNDG_Gangsa_N2_S2.mp3,.mp3,919680,9df583dc72eb138663d1b1a9bc3eac2a490f76c17fb3d2c74f34d2188d8201f5,5.642449,44100,2,readable,,pending_review,,,yes,yes,yes,yes,uncertain,no,no,reviewed,pending_review,,Isolated Gangsa strike and fading decay are audible. The attack sounds unusually loud and subjectively distorted; objective clipping screening is required before final acceptance or exclusion.
ISO-N2-S3,SDNG_SNDG_Gangsa_N2_S3.mp3,isolated_strike,KATUNOG,data\raw\isolated_strikes\SDNG_SNDG_Gangsa_N2_S3.mp3,.mp3,901248,2f8eeada6178566705b5db745a50a6299c4abf710b0663cc32b09f4f72ecede7,4.884898,44100,2,readable,,pending_review,,,yes,yes,yes,yes,no,no,no,reviewed,accepted,,Isolated Gangsa strike and fading decay are audible. No reported technical issue prevents later sample-based rendering.
ISO-N2-S4,SDNG_SNDG_Gangsa_N2_S4.mp3,isolated_strike,KATUNOG,data\raw\isolated_strikes\SDNG_SNDG_Gangsa_N2_S4.mp3,.mp3,929920,d89a81ab255ac55d0bc268bab4e52d0344c51adb8d4cb5e51d936569dae26f2c,6.112653,44100,2,readable,,pending_review,,,yes,yes,yes,yes,no,no,no,reviewed,accepted,,Isolated Gangsa strike and fading decay are audible. No reported technical issue prevents later sample-based rendering.
ISO-N2-S5,SDNG_SNDG_Gangsa_N2_S5.mp3,isolated_strike,KATUNOG,data\raw\isolated_strikes\SDNG_SNDG_Gangsa_N2_S5.mp3,.mp3,913536,79d0edac8a3afa71ce4f2e41e5c47469aa6580eebdfbed2cfb56f452b02d6813,5.459592,44100,2,readable,,pending_review,,,yes,yes,yes,yes,uncertain,no,no,reviewed,pending_review,,Isolated Gangsa strike and fading decay are audible. The attack sounds unusually loud and subjectively distorted; objective clipping screening is required before final acceptance or exclusion.
ISO-N3-S1,SDNG_SNDG_Gangsa_N3_S1.mp3,isolated_strike,KATUNOG,data\raw\isolated_strikes\SDNG_SNDG_Gangsa_N3_S1.mp3,.mp3,940160,1fd28566c509839ab1d87af02ffa5130589c66d72142befc78e83a8dc25a592d,6.556735,44100,2,readable,,pending_review,,,yes,yes,yes,yes,uncertain,no,no,reviewed,pending_review,,Isolated Gangsa strike and fading decay are audible. The attack sounds unusually loud and subjectively distorted; objective clipping screening is required before final acceptance or exclusion.
